State,State_UT_Code,Financial Year,Opening Balance,Funds Received from Government of India ,Funds Received as States' Share ,Other Receipts ,Total Funds Available ,Total Expenditure ,Net Unspent Balance Available,Extent of Funds Utilised against Total Funds Available
Telangana,24,2016-17,16.32,257.17,0.1,31.46,305.05,189.73,122,62.196
Tripura,25,2016-17,2.85,392.27,55.99,78.02,529.13,130,320.88,24.569
Uttar Pradesh,26,2016-17,511.81,1744.92,243.47,9.22,2509.42,1012.78,1479.31,40.359
Uttarakhand,27,2016-17,72.4,407.55,45.6,3.64,529.19,453.94,82.67,85.78
West Bengal,28,2016-17,543.75,851.64,872.77,14.36,2282.52,1057.89,1262.63,46.347
A & N Islands,29,2016-17,NA,NA,NA,NA,NA,NA,NA,NA
Chandigarh,30,2016-17,NA,NA,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2016-17,NA,NA,NA,NA,NA,NA,NA,NA
Daman & Diu,32,2016-17,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,33,2016-17,NA,NA,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2016-17,150.42,582.47,0,65.12,798.01,431.09,364.54,54.021
Ladakh,35,2016-17,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,36,2016-17,NA,NA,NA,NA,NA,NA,NA,NA
Puducherry,37,2016-17,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,1,2017-18,288.78,39.01,-53.28,0.86,275.37,138.95,138.18,50.459
Arunachal Pradesh,2,2017-18,9.09,358.61,24.26,0.9,392.86,385.23,15.2,98.058
Assam,3,2017-18,577.68,575.81,49.13,81.4,1284.02,399.31,864.56,31.098
Bihar,4,2017-18,5421.48,1360.98,424.47,220.4,7427.33,1596.3,5697.96,21.492
Chhattisgarh,5,2017-18,491.76,422.9,330.03,64.12,1308.81,722.41,603.3,55.196
Goa,6,2017-18,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,7,2017-18,180.39,0,0.01,6.52,186.92,52.94,130.78,28.322
Haryana,8,2017-18,184.65,-80.39,81.42,6.61,192.29,28.97,154.57,15.066
Himachal Pradesh,9,2017-18,140.38,360.3,41.39,28.36,570.43,521.73,69.69,91.463
Jharkhand,10,2017-18,962.67,995.85,362.02,29.54,2350.08,1261.66,1039.8,53.686
Karnataka,11,2017-18,153.41,5.28,21.6,3.05,183.34,60.85,118.62,33.19
Kerala,12,2017-18,56.87,169.13,80.65,99,405.65,208.04,209.48,51.286
Madhya Pradesh,13,2017-18,2064.38,1098.9,715.93,68.91,3948.12,1924.32,2136.46,48.74
Maharashtra,14,2017-18,866.53,270.59,206.76,71.01,1414.89,411.69,1000.51,29.097
Manipur,15,2017-18,44.02,402.47,49.8,5.18,501.47,265.78,232.88,53
Meghalaya,16,2017-18,3.72,142.29,22.9,3.57,172.48,113.82,69.53,65.99
Mizoram,17,2017-18,57.24,197.26,21.92,6.56,282.98,73.38,207.47,25.931
Nagaland,18,2017-18,9.22,8.91,1.87,3.68,23.68,18.04,3.07,76.182
Odisha,19,2017-18,1270.57,1680.63,1347.38,106.28,4404.86,2693.67,1755.25,61.152
Punjab,20,2017-18,3.11,247.55,77.94,0.67,329.27,334.71,11.24,101.652
Rajasthan,21,2017-18,519.1,138.96,178.36,18.63,855.05,544.06,299.61,63.629
Sikkim,22,2017-18,8.58,236.36,20.05,0,264.99,208.14,39.27,78.546
Tamil Nadu,23,2017-18,287.04,591.2,120.86,87.24,1086.34,529.32,578.34,48.725
Telangana,24,2017-18,121.43,5,0.27,124.43,251.13,134.96,118.1,53.741
Tripura,25,2017-18,321.81,135.38,19.72,18.2,495.11,136.66,363.14,27.602
Uttar Pradesh,26,2017-18,1482.63,705.77,588.44,84.29,2861.13,1832.88,1035.83,64.061
Uttarakhand,27,2017-18,82.04,711.92,69.81,3.73,867.5,612.02,276.26,70.55
West Bengal,28,2017-18,1230.33,1000.33,720.64,95.6,3046.9,1256.49,1839.13,41.238
A & N Islands,29,2017-18,NA,NA,NA,NA,NA,NA,NA,NA
Chandigarh,30,2017-18,NA,NA,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2017-18,NA,NA,NA,NA,NA,NA,NA,NA
Daman & Diu,32,2017-18,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,33,2017-18,NA,NA,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2017-18,365.23,892.7,0,107.13,1365.06,953.61,438.7,69.858
Ladakh,35,2017-18,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,36,2017-18,NA,NA,NA,NA,NA,NA,NA,NA
Puducherry,37,2017-18,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,1,2018-19,139.12,140.18,223.73,45.79,548.82,260.07,298.73,47.387
Arunachal Pradesh,2,2018-19,19.87,1244.65,141.06,5.23,1410.81,1010.54,422.43,71.628
Assam,3,2018-19,863.5,1769.84,204.77,282.97,3121.08,2416.37,839.06,77.421
Bihar,4,2018-19,5697.52,280.38,1061.51,477.67,7517.08,1881.59,5657.69,25.031
