State_UT,State_UT_Code,Financial Year,Opening Balance,Funds Released,Interest Earned and Other Receipts,Total Available Funds,Total Expenditure,Unspent Balance
Andhra Pradesh,1,2017-18,39.255,1190.708,2.055,1232.018,1151.308,80.71
Arunachal Pradesh,2,2017-18,10.94,136.493,1.03,148.463,102.474,45.989
Assam,3,2017-18,556.617,1149.57,8.864,1715.051,1178.737,536.314
Bihar,4,2017-18,167.421,829.835,5.653,1002.909,510.893,492.016
Chhattisgarh,5,2017-18,82.257,641.489,10.212,733.958,539.6,194.358
Goa,6,2017-18,1.05,0,0.034,1.084,1.573,-0.489
Gujarat,7,2017-18,317.406,369.464,142.904,829.774,558.335,271.439
Haryana,8,2017-18,71.37,0,7.144,64.226,21.655,42.571
Himachal Pradesh,9,2017-18,44.293,0,5.873,50.166,48.005,2.161
Jharkhand,10,2017-18,62.608,684.153,6.198,752.96,479.241,273.719
Karnataka,11,2017-18,166.382,949.383,11.476,1127.241,829.982,297.26
Kerala,12,2017-18,92.329,0,2.189,94.518,85.533,8.985
Madhya Pradesh,13,2017-18,272.049,1340.446,7.383,1619.877,1243.015,376.862
Maharashtra,14,2017-18,73.532,1155.327,17.903,1246.761,1094.417,152.344
Manipur,15,2017-18,18.958,75.668,0.247,94.873,50.537,44.335
Meghalaya,16,2017-18,53.741,143.889,3.083,200.713,66.19,134.523
Mizoram,17,2017-18,11.067,44.49,0.222,55.779,23.139,32.64
Nagaland,18,2017-18,0.028,70.255,0.242,70.524,60.683,9.841
Odisha,19,2017-18,273.296,437.442,8.562,719.301,574.147,145.154
Punjab,20,2017-18,19.846,265.216,33.956,319.018,129.311,189.706
Rajasthan,21,2017-18,510.213,916.018,34.044,1460.274,1051.83,408.444
Sikkim,22,2017-18,6.587,7.741,0.351,14.678,6.382,8.297
Tamil Nadu,23,2017-18,72.532,838.745,45.324,956.601,696.331,260.269
Telangana,24,2017-18,136.444,462.028,3.942,602.414,354.264,248.149
Tripura,25,2017-18,19.543,21.71,0.827,42.08,16.275,25.805
Uttar Pradesh,26,2017-18,67.557,3073.555,61.214,3202.326,2580.677,621.649
